pair_id,time_13,travel_13,speed,time_14,travel_14
10356,9/15/13 0:05,336,49.1,9/14/14 0:05,381
10356,9/15/13 0:20,348,52.7,9/14/14 0:20,355
10356,9/15/13 0:35,348,52.7,9/14/14 0:35,355
10356,9/15/13 0:50,348,52.7,9/14/14 0:50,355
10356,9/15/13 1:05,348,52.7,9/14/14 1:05,355
10356,9/15/13 1:20,348,46.7,9/14/14 1:20,401
10356,9/15/13 1:35,348,46.7,9/14/14 1:35,401
10356,9/15/13 1:50,359,46.7,9/14/14 1:50,401
10356,9/15/13 2:05,336,46.7,9/14/14 2:05,401
10356,9/15/13 2:20,346,47.3,9/14/14 2:20,396
10356,9/15/13 2:35,370,47.3,9/14/14 2:35,396
10356,9/15/13 2:50,370,47.3,9/14/14 2:50,396
10356,9/15/13 3:05,372,47.3,9/14/14 3:05,396
10356,9/15/13 3:20,372,47.3,9/14/14 3:20,396
10356,9/15/13 3:35,372,47.3,9/14/14 3:35,396
10356,9/15/13 3:50,325,51.6,9/14/14 3:50,363
10356,9/15/13 4:05,325,56,9/14/14 4:05,334
10356,9/15/13 4:20,325,56,9/14/14 4:20,334
10356,9/15/13 4:35,325,56,9/14/14 4:35,334
10356,9/15/13 4:50,363,55.7,9/14/14 4:50,336
10356,9/15/13 5:05,363,54.1,9/14/14 5:05,346
10356,9/15/13 5:20,357,55.4,9/14/14 5:20,338
10356,9/15/13 5:35,349,57.1,9/14/14 5:35,328
10356,9/15/13 5:50,369,58.9,9/14/14 5:50,318
10356,9/15/13 6:05,355,58.9,9/14/14 6:05,318
10356,9/15/13 6:20,343,54.1,9/14/14 6:20,346
10356,9/15/13 6:35,325,57.1,9/14/14 6:35,328
10356,9/15/13 6:50,323,52.6,9/14/14 6:50,356
10356,9/15/13 7:05,337,49.5,9/14/14 7:05,378
10356,9/15/13 7:20,329,49.8,9/14/14 7:20,376
10356,9/15/13 7:35,329,59.6,9/14/14 7:35,314
10356,9/15/13 7:50,329,55.7,9/14/14 7:50,336
10356,9/15/13 8:05,337,55.7,9/14/14 8:05,336
10356,9/15/13 8:20,335,58.1,9/14/14 8:20,322
10356,9/15/13 8:35,319,56.4,9/14/14 8:35,332
10356,9/15/13 8:50,317,56.4,9/14/14 8:50,332
10356,9/15/13 9:05,351,54.7,9/14/14 9:05,342
10356,9/15/13 9:20,358,54.7,9/14/14 9:20,342
10356,9/15/13 9:35,339,55.4,9/14/14 9:35,338
10356,9/15/13 9:50,357,57.1,9/14/14 9:50,328
10356,9/15/13 10:05,350,57.1,9/14/14 10:05,328
10356,9/15/13 10:20,362,47.5,9/14/14 10:20,394
10356,9/15/13 10:35,350,54.1,9/14/14 10:35,346
10356,9/15/13 10:50,344,57.8,9/14/14 10:50,324
10356,9/15/13 11:05,328,56,9/14/14 11:05,334
10356,9/15/13 11:20,322,56.7,9/14/14 11:20,330
10356,9/15/13 11:35,328,55.5,9/14/14 11:35,337
10356,9/15/13 11:50,326,55.2,9/14/14 11:50,339
10356,9/15/13 12:05,354,53.6,9/14/14 12:05,349
10356,9/15/13 12:20,342,50.2,9/14/14 12:20,373
10356,9/15/13 12:35,316,50.2,9/14/14 12:35,373
10356,9/15/13 12:50,325,53.6,9/14/14 12:50,349
10356,9/15/13 13:05,350,55.2,9/14/14 13:05,339
10356,9/15/13 13:20,332,51,9/14/14 13:20,367
10356,9/15/13 13:35,332,51.3,9/14/14 13:35,365
10356,9/15/13 13:50,338,54.6,9/14/14 13:50,343
10356,9/15/13 14:05,346,58,9/14/14 14:05,323
10356,9/15/13 14:20,344,55.9,9/14/14 14:20,335
10356,9/15/13 14:35,338,52.4,9/14/14 14:35,357
10356,9/15/13 14:50,327,53,9/14/14 14:50,353
10356,9/15/13 15:05,343,53,9/14/14 15:05,353
10356,9/15/13 15:20,363,53.6,9/14/14 15:20,349
10356,9/15/13 15:35,345,53.6,9/14/14 15:35,349
10356,9/15/13 15:50,354,54.3,9/14/14 15:50,345
10356,9/15/13 16:05,360,50.9,9/14/14 16:05,368
10356,9/15/13 16:20,430,53.9,9/14/14 16:20,347
10356,9/15/13 16:35,370,50.7,9/14/14 16:35,369
10356,9/15/13 16:50,374,52.7,9/14/14 16:50,355
10356,9/15/13 17:05,379,52.7,9/14/14 17:05,355
10356,9/15/13 17:20,361,53.3,9/14/14 17:20,351
10356,9/15/13 17:35,383,53.3,9/14/14 17:35,351
10356,9/15/13 17:50,355,51,9/14/14 17:50,367
10356,9/15/13 18:05,379,49.7,9/14/14 18:05,377
10356,9/15/13 18:20,342,34.9,9/14/14 18:20,537.001
10356,9/15/13 18:35,346,48.6,9/14/14 18:35,385
10356,9/15/13 18:50,350,52.1,9/14/14 18:50,359
10356,9/15/13 19:05,350,55.5,9/14/14 19:05,337
10356,9/15/13 19:20,362,50.2,9/14/14 19:20,373
10356,9/15/13 19:35,352,56.7,9/14/14 19:35,330
10356,9/15/13 19:50,344,53.5,9/14/14 19:50,350
10356,9/15/13 20:05,340,52.6,9/14/14 20:05,356
10356,9/15/13 20:20,352,50.9,9/14/14 20:20,368
10356,9/15/13 20:35,343,51.1,9/14/14 20:35,366
10356,9/15/13 20:50,363,55.4,9/14/14 20:50,338
10356,9/15/13 21:05,329,50.9,9/14/14 21:05,368
10356,9/15/13 21:20,361,55.4,9/14/14 21:20,338
10356,9/15/13 21:35,378,51.4,9/14/14 21:35,364
10356,9/15/13 21:50,329,51.4,9/14/14 21:50,364
10356,9/15/13 22:05,345,53.2,9/14/14 22:05,352
10356,9/15/13 22:20,403,54.3,9/14/14 22:20,345
10356,9/15/13 22:35,363,52.6,9/14/14 22:35,356
10356,9/15/13 22:50,353,44.2,9/14/14 22:50,424
10356,9/15/13 23:05,333,44.2,9/14/14 23:05,424
10356,9/15/13 23:20,349,49.3,9/14/14 23:20,380
10356,9/15/13 23:35,351,49.3,9/14/14 23:35,380
10356,9/15/13 23:50,401,50.2,9/14/14 23:50,373
10356,9/16/13 0:05,365,46.7,9/15/14 0:05,401
10356,9/16/13 0:20,379,47.4,9/15/14 0:20,395
10356,9/16/13 0:35,365,47.9,9/15/14 0:35,391
10356,9/16/13 0:50,387,47.4,9/15/14 0:50,395
10356,9/16/13 1:05,385,47.9,9/15/14 1:05,391
10356,9/16/13 1:20,385,47.9,9/15/14 1:20,391
10356,9/16/13 1:35,353,47.5,9/15/14 1:35,394
10356,9/16/13 1:50,361,47.5,9/15/14 1:50,394
10356,9/16/13 2:05,409,47,9/15/14 2:05,398
10356,9/16/13 2:20,391,47,9/15/14 2:20,398
10356,9/16/13 2:35,391,47,9/15/14 2:35,398
10356,9/16/13 2:50,391,47,9/15/14 2:50,398
10356,9/16/13 3:05,391,47,9/15/14 3:05,398
10356,9/16/13 3:20,391,47,9/15/14 3:20,398
10356,9/16/13 3:35,366,47,9/15/14 3:35,398
10356,9/16/13 3:50,366,47,9/15/14 3:50,398
10356,9/16/13 4:05,366,47,9/15/14 4:05,398
10356,9/16/13 4:20,340,47.5,9/15/14 4:20,394
10356,9/16/13 4:35,336,53.2,9/15/14 4:35,352
10356,9/16/13 4:50,336,53.2,9/15/14 4:50,352
10356,9/16/13 5:05,331,53.2,9/15/14 5:05,352
10356,9/16/13 5:20,331,61.4,9/15/14 5:20,305
10356,9/16/13 5:35,335,58.5,9/15/14 5:35,320
10356,9/16/13 5:50,313,55.4,9/15/14 5:50,338
10356,9/16/13 6:05,341,59.2,9/15/14 6:05,316
10356,9/16/13 6:20,345,52.3,9/15/14 6:20,358
10356,9/16/13 6:35,345,59.6,9/15/14 6:35,314
10356,9/16/13 6:50,321,54.1,9/15/14 6:50,346
10356,9/16/13 7:05,327,54.7,9/15/14 7:05,342
10356,9/16/13 7:35,355,51.4,9/15/14 7:35,364
10356,9/16/13 7:50,387,44.2,9/15/14 7:50,424
10356,9/16/13 8:20,403,36.3,9/15/14 8:20,516
10356,9/16/13 8:35,376,33.8,9/15/14 8:35,554
10356,9/16/13 8:50,376,50.6,9/15/14 8:50,370
10356,9/16/13 9:05,376,52.9,9/15/14 9:05,354
10356,9/16/13 9:20,376,54.1,9/15/14 9:20,346
10356,9/16/13 9:35,376,51.1,9/15/14 9:35,366
10356,9/16/13 9:50,362,50.6,9/15/14 9:50,370
10356,9/16/13 10:05,342,53.3,9/15/14 10:05,351
10356,9/16/13 10:20,352,48.4,9/15/14 10:20,387
10356,9/16/13 10:35,364,57.6,9/15/14 10:35,325
10356,9/16/13 10:50,382,54.3,9/15/14 10:50,345
10356,9/16/13 11:05,390,53.6,9/15/14 11:05,349
10356,9/16/13 11:20,390,51.9,9/15/14 11:20,361
10356,9/16/13 11:35,372,51.9,9/15/14 11:35,361
10356,9/16/13 11:50,364,53.3,9/15/14 11:50,351
10356,9/16/13 12:05,366,52.1,9/15/14 12:05,359
10356,9/16/13 12:20,362,48.9,9/15/14 12:20,383
10356,9/16/13 12:35,358,50.7,9/15/14 12:35,369
10356,9/16/13 12:50,358,53.3,9/15/14 12:50,351
10356,9/16/13 13:05,379,56.6,9/15/14 13:05,331
10356,9/16/13 13:20,349,55.5,9/15/14 13:20,337
10356,9/16/13 13:35,370,55.5,9/15/14 13:35,337
10356,9/16/13 14:05,376,55.9,9/15/14 14:05,335
10356,9/16/13 14:35,374,51,9/15/14 14:35,367
10356,9/16/13 14:50,333,52.1,9/15/14 14:50,359
10356,9/16/13 15:05,353,50.5,9/15/14 15:05,371
10356,9/16/13 15:20,369,53,9/15/14 15:20,353
10356,9/16/13 15:35,341,53,9/15/14 15:35,353
10356,9/16/13 15:50,331,49.4,9/15/14 15:50,379
10356,9/16/13 16:05,369,51.4,9/15/14 16:05,364
10356,9/16/13 16:20,376,49.8,9/15/14 16:20,376
10356,9/16/13 16:35,375,47.8,9/15/14 16:35,392
10356,9/16/13 16:50,357,44.3,9/15/14 16:50,423
10356,9/16/13 17:05,358,41.7,9/15/14 17:05,448.999
10356,9/16/13 17:20,408,35.8,9/15/14 17:20,523
10356,9/16/13 17:35,507,24.5,9/15/14 17:35,763.001
10356,9/16/13 17:50,401,26.9,9/15/14 17:50,696.999
10356,9/16/13 18:05,391,26.9,9/15/14 18:05,696.999
10356,9/16/13 18:20,445,30,9/15/14 18:20,622.999
10356,9/16/13 18:35,456,28.2,9/15/14 18:35,664.999
10356,9/16/13 18:50,472,27.7,9/15/14 18:50,677
10356,9/16/13 19:05,368,27.5,9/15/14 19:05,681
10356,9/16/13 19:20,357,27.5,9/15/14 19:20,681
10356,9/16/13 19:35,353,27.5,9/15/14 19:35,681
10356,9/16/13 19:50,339,27.5,9/15/14 19:50,681
10356,9/16/13 20:05,327,51.4,9/15/14 20:05,364
10356,9/16/13 20:20,346,53.5,9/15/14 20:20,350
10356,9/16/13 20:35,356,53.5,9/15/14 20:35,350
10356,9/16/13 20:50,326,53.5,9/15/14 20:50,350
10356,9/16/13 21:05,345,53.5,9/15/14 21:05,350
10356,9/16/13 21:20,318,55.7,9/15/14 21:20,336
10356,9/16/13 21:35,364,52.3,9/15/14 21:35,358
10356,9/16/13 21:50,376,47.9,9/15/14 21:50,391
10356,9/16/13 22:05,332,55.5,9/15/14 22:05,337
10356,9/16/13 22:20,356,55.9,9/15/14 22:20,335
10356,9/16/13 22:35,382,55.9,9/15/14 22:35,335
10356,9/16/13 22:50,354,38,9/15/14 22:50,493
10356,9/16/13 23:05,366,24.8,9/15/14 23:05,756
10356,9/16/13 23:20,363,31,9/15/14 23:20,604
10356,9/16/13 23:35,351,34.7,9/15/14 23:35,539
10356,9/16/13 23:50,351,36.6,9/15/14 23:50,510.999
10356,9/17/13 0:05,377,37.5,9/16/14 0:05,499
10356,9/17/13 0:20,399,33.4,9/16/14 0:20,561
10356,9/17/13 0:35,349,37.5,9/16/14 0:35,499
10356,9/17/13 0:50,349,47.4,9/16/14 0:50,395
10356,9/17/13 1:05,364,50.2,9/16/14 1:05,373
10356,9/17/13 1:20,402,46.9,9/16/14 1:20,399
10356,9/17/13 1:35,396,46.9,9/16/14 1:35,399
10356,9/17/13 1:50,396,45.2,9/16/14 1:50,414
10356,9/17/13 2:05,402,45.2,9/16/14 2:05,414
10356,9/17/13 2:20,402,45.2,9/16/14 2:20,414
10356,9/17/13 2:35,396,45.2,9/16/14 2:35,414
10356,9/17/13 2:50,396,45.2,9/16/14 2:50,414
10356,9/17/13 3:05,396,46.9,9/16/14 3:05,399
10356,9/17/13 3:20,379,46.9,9/16/14 3:20,399
10356,9/17/13 3:35,352,46.9,9/16/14 3:35,399
10356,9/17/13 3:50,365,46.9,9/16/14 3:50,399
10356,9/17/13 4:05,377,46.9,9/16/14 4:05,399
10356,9/17/13 4:20,377,48.8,9/16/14 4:20,384
10356,9/17/13 4:35,365,48.8,9/16/14 4:35,384
10356,9/17/13 4:50,365,49.9,9/16/14 4:50,375
10356,9/17/13 5:05,346,54.6,9/16/14 5:05,343
10356,9/17/13 5:20,334,58,9/16/14 5:20,323
10356,9/17/13 5:35,346,55.1,9/16/14 5:35,340
10356,9/17/13 5:50,328,54.7,9/16/14 5:50,342
