id,pairid,speed,datetime,traveltime
31,10357,66.4,9/11/14 10:50,141
32,16981,51.3,9/11/14 10:50,210.489
33,10356,52,9/11/14 10:50,360
34,10496,55,9/11/14 10:50,262
35,10498,33.4,9/11/14 10:50,151
36,10499,51.4,9/11/14 10:50,280
37,10360,40.5,9/11/14 10:50,470.999
38,10364,41.7,9/11/14 10:50,492
39,10363,46.4,9/11/14 10:50,295
40,10361,49.9,9/11/14 10:50,274
41,10357,64.6,9/11/14 11:35,145
42,16981,46.2,9/11/14 11:35,233.885
43,10356,53,9/11/14 11:35,353
44,10496,59,9/11/14 11:35,244
45,10498,60.7,9/11/14 11:35,83
46,10499,64.3,9/11/14 11:35,224
47,10360,53.4,9/11/14 11:35,357
48,10364,18.9,9/11/14 11:35,1083
49,10363,54.1,9/11/14 11:35,253
50,10361,48.9,9/11/14 11:35,280
51,10357,69.9,9/11/14 11:50,134
52,16981,46.2,9/11/14 11:50,233.885
53,10356,53.9,9/11/14 11:50,347
54,10496,57.1,9/11/14 11:50,252
55,10498,65.5,9/11/14 11:50,77.0001
56,10499,64.3,9/11/14 11:50,224
57,10360,58.7,9/11/14 11:50,325
58,10364,46.8,9/11/14 11:50,438
59,10363,55.4,9/11/14 11:50,247
60,10361,48.5,9/11/14 11:50,282
61,10357,66.4,9/11/14 12:20,141
62,16981,46.9,9/11/14 12:20,230.256
63,10356,51.6,9/11/14 12:20,363
64,10496,56.3,9/11/14 12:20,256
65,10498,65.5,9/11/14 12:20,77.0001
66,10499,64.3,9/11/14 12:20,224
67,10360,57,9/11/14 12:20,335
68,10364,47,9/11/14 12:20,437
69,10363,50.1,9/11/14 12:20,273
70,10361,51.6,9/11/14 12:20,265
71,10357,69.3,9/11/14 12:35,135
72,16981,6.7,9/11/14 12:35,1604.65
73,10356,52.7,9/11/14 12:35,355
74,10496,58.8,9/11/14 12:35,245
75,10498,66.3,9/11/14 12:35,76
76,10499,67.6,9/11/14 12:35,213
77,10360,53.3,9/11/14 12:35,358
78,10364,47,9/11/14 12:35,437
79,10363,46.4,9/11/14 12:35,295
80,10361,48.3,9/11/14 12:35,283
81,10357,69.3,9/11/14 12:50,135
82,16981,5.7,9/11/14 12:50,1909.43
83,10356,52.9,9/11/14 12:50,354
84,10496,60.8,9/11/14 12:50,237
85,10498,64.6,9/11/14 12:50,78
86,10499,70.2,9/11/14 12:50,205
87,10360,57.1,9/11/14 12:50,334
88,10364,50.8,9/11/14 12:50,404
89,10363,44.3,9/11/14 12:50,309
90,10361,54.1,9/11/14 12:50,253
91,10357,68.8,9/11/14 13:20,136
92,16981,35.8,9/11/14 13:20,301.631
93,10356,52.6,9/11/14 13:20,356
94,10496,59.8,9/11/14 13:20,241
95,10498,67.2,9/11/14 13:20,75
96,10499,64,9/11/14 13:20,225
97,10360,58.5,9/11/14 13:20,326
98,10364,49.7,9/11/14 13:20,413
99,10363,48.3,9/11/14 13:20,283
100,10361,55.8,9/11/14 13:20,245
101,10357,66.9,9/11/14 13:50,140
102,16981,28.1,9/11/14 13:50,384.749
103,10356,54.4,9/11/14 13:50,344
104,10496,62.1,9/11/14 13:50,232
105,10498,62.2,9/11/14 13:50,81
106,10499,66.4,9/11/14 13:50,217
107,10360,56.4,9/11/14 13:50,338
108,10364,5.2,9/11/14 13:50,3919.02
109,10363,52.8,9/11/14 13:50,259
110,10361,50.5,9/11/14 13:50,271
111,10357,65,9/11/14 14:05,144
112,16981,47.9,9/11/14 14:05,225.366
113,10356,48.5,9/11/14 14:05,386
114,10496,56.5,9/11/14 14:05,255
115,10498,62.2,9/11/14 14:05,81
116,10499,61.3,9/11/14 14:05,235
117,10360,51.8,9/11/14 14:05,368
118,10364,42.5,9/11/14 14:05,483
119,10363,51.2,9/11/14 14:05,267
120,10361,52.4,9/11/14 14:05,261
121,10357,65,9/11/14 14:20,144
122,16981,27.9,9/11/14 14:20,386.685
123,10356,52.6,9/11/14 14:20,356
124,10496,57.4,9/11/14 14:20,251
125,10498,57.3,9/11/14 14:20,88
126,10499,61.5,9/11/14 14:20,234
127,10360,51.2,9/11/14 14:20,373
128,10364,45.5,9/11/14 14:20,451
129,10363,49.7,9/11/14 14:20,275
130,10361,50.9,9/11/14 14:20,269
131,10357,65.9,9/11/14 14:35,142
132,16981,47.7,9/11/14 14:35,226.411
133,10356,50.9,9/11/14 14:35,368
134,10496,57.8,9/11/14 14:35,249
135,10498,63,9/11/14 14:35,80
136,10499,64.9,9/11/14 14:35,222
137,10360,58.7,9/11/14 14:35,325
138,10364,45.1,9/11/14 14:35,455
139,10363,49.7,9/11/14 14:35,275
140,10361,48.3,9/11/14 14:35,283
141,10357,68.8,9/11/14 14:50,136
142,16981,45.4,9/11/14 14:50,237.933
143,10356,50.1,9/11/14 14:50,374
144,10496,57.4,9/11/14 14:50,251
145,10498,63,9/11/14 14:50,80
146,10499,67.3,9/11/14 14:50,214
147,10360,54.7,9/11/14 14:50,349
148,10364,47.8,9/11/14 14:50,429
149,10363,20.1,9/11/14 14:50,678.999
150,10361,52.4,9/11/14 14:50,261
151,10357,63.2,9/11/14 15:05,148
152,16981,49,9/11/14 15:05,220.49
153,10356,56,9/11/14 15:05,334
154,10496,60.3,9/11/14 15:05,239
155,10498,63,9/11/14 15:05,80
156,10499,61.5,9/11/14 15:05,234
157,10360,54.4,9/11/14 15:05,351
158,10364,47.8,9/11/14 15:05,429
159,10363,25.3,9/11/14 15:05,541
160,10361,52.8,9/11/14 15:05,259
161,10357,57.8,9/11/14 15:35,162
162,16981,48.9,9/11/14 15:35,220.982
163,10356,50.1,9/11/14 15:35,374
164,10496,53.5,9/11/14 15:35,269
165,10498,54.8,9/11/14 15:35,92
166,10499,69.2,9/11/14 15:35,208
167,10360,56.3,9/11/14 15:35,339
168,10364,36.8,9/11/14 15:35,557
169,10363,25.3,9/11/14 15:35,541
170,10361,44,9/11/14 15:35,311
171,10357,29.6,9/11/14 15:50,316
172,16981,46.7,9/11/14 15:50,231.369
173,10356,45.2,9/11/14 15:50,414
174,10496,52,9/11/14 15:50,277
175,10498,32.3,9/11/14 15:50,156
176,10499,49.3,9/11/14 15:50,292
177,10360,49.3,9/11/14 15:50,387
178,10364,33.4,9/11/14 15:50,614.999
179,10363,27.6,9/11/14 15:50,494.999
180,10361,29.5,9/11/14 15:50,463.001
181,10357,23.4,9/11/14 16:05,400
182,16981,41.8,9/11/14 16:05,258.476
183,10356,42.5,9/11/14 16:05,440
184,10496,44.9,9/11/14 16:05,321
185,10498,35,9/11/14 16:05,144
186,10499,52.9,9/11/14 16:05,272
187,10360,47.6,9/11/14 16:05,401
188,10364,18,9/11/14 16:05,1137
189,10363,28.6,9/11/14 16:05,478.001
190,10361,23,9/11/14 16:05,594
191,10357,17.7,9/11/14 16:20,529.999
192,16981,36.7,9/11/14 16:20,294.458
193,10356,38.2,9/11/14 16:20,490
194,10496,45.4,9/11/14 16:20,317
195,10498,59.3,9/11/14 16:20,85
196,10499,64.9,9/11/14 16:20,222
197,10360,49,9/11/14 16:20,389
198,10364,18,9/11/14 16:20,1137
199,10363,27,9/11/14 16:20,506
200,10361,20.8,9/11/14 16:20,657.001
201,10357,18.5,9/11/14 16:35,506.001
202,16981,34.7,9/11/14 16:35,311.48
203,10356,33.4,9/11/14 16:35,560
204,10496,38,9/11/14 16:35,379
205,10498,60.7,9/11/14 16:35,83
206,10499,63.4,9/11/14 16:35,227
207,10360,48.7,9/11/14 16:35,392
208,10364,15.3,9/11/14 16:35,1345
209,10363,25.4,9/11/14 16:35,538
210,10361,17.4,9/11/14 16:35,784.998
211,10357,18.7,9/11/14 16:50,500
212,16981,27.7,9/11/14 16:50,389.499
213,10356,27.7,9/11/14 16:50,676
214,10496,34.2,9/11/14 16:50,421
215,10498,49.9,9/11/14 16:50,101
216,10499,59.8,9/11/14 16:50,241
217,10360,48.4,9/11/14 16:50,394
218,10364,15.2,9/11/14 16:50,1349
219,10363,25.4,9/11/14 16:50,538
220,10361,16.2,9/11/14 16:50,845.003
221,10357,15.6,9/11/14 17:05,600
222,16981,28.1,9/11/14 17:05,384.907
223,10356,27.7,9/11/14 17:05,676
224,10496,30.3,9/11/14 17:05,475
225,10498,26.7,9/11/14 17:05,189
226,10499,43.5,9/11/14 17:05,331
227,10360,41.2,9/11/14 17:05,463
228,10364,14.5,9/11/14 17:05,1415
229,10363,24.6,9/11/14 17:05,556
230,10361,14.7,9/11/14 17:05,927.999
231,10357,16.2,9/11/14 17:20,577.999
232,16981,17.1,9/11/14 17:20,631.579
233,10356,26.3,9/11/14 17:20,712.999
234,10496,24.5,9/11/14 17:20,588
235,10498,28.8,9/11/14 17:20,175
236,10499,45.7,9/11/14 17:20,315
237,10360,26.1,9/11/14 17:20,731.001
238,10364,14.5,9/11/14 17:20,1415
239,10363,18.1,9/11/14 17:20,754.002
240,10361,13.6,9/11/14 17:20,1007
241,10357,18.7,9/11/14 17:35,501.001
242,16981,15.2,9/11/14 17:35,708.396
243,10356,23.4,9/11/14 17:35,799
244,10496,20.7,9/11/14 17:35,695.001
245,10498,24.2,9/11/14 17:35,208
246,10499,43.8,9/11/14 17:35,329
247,10360,30.7,9/11/14 17:35,621.001
248,10364,13.2,9/11/14 17:35,1555
249,10363,19.3,9/11/14 17:35,706.999
250,10361,15.9,9/11/14 17:35,857.998
251,10357,22.3,9/11/14 17:50,419
252,16981,20.9,9/11/14 17:50,515.951
253,10356,20.3,9/11/14 17:50,924.002
254,10496,16.4,9/11/14 17:50,880.002
255,10498,27.1,9/11/14 17:50,186
256,10499,44.3,9/11/14 17:50,325
257,10360,38.9,9/11/14 17:50,491
258,10364,16.3,9/11/14 17:50,1260
259,10363,22.9,9/11/14 17:50,596.999
260,10361,23.6,9/11/14 17:50,580
261,10357,20.8,9/11/14 18:05,451
262,16981,23.3,9/11/14 18:05,463.001
263,10356,20.2,9/11/14 18:05,928.001
264,10496,18.2,9/11/14 18:05,792.001
265,10498,22.5,9/11/14 18:05,224
266,10499,43,9/11/14 18:05,335
267,10360,40.2,9/11/14 18:05,475
268,10364,15.7,9/11/14 18:05,1306
269,10363,28,9/11/14 18:05,488.999
270,10361,34.2,9/11/14 18:05,400
271,10357,24.6,9/11/14 18:20,381
272,16981,24.1,9/11/14 18:20,448.966
273,10356,23.5,9/11/14 18:20,798.002
274,10496,21,9/11/14 18:20,685
275,10498,24.2,9/11/14 18:20,208
276,10499,37.8,9/11/14 18:20,381
277,10360,40.2,9/11/14 18:20,475
278,10364,15.7,9/11/14 18:20,1306
279,10363,32,9/11/14 18:20,427
280,10361,31.2,9/11/14 18:20,439
281,10357,25,9/11/14 18:35,375
282,16981,25.4,9/11/14 18:35,425.288
283,10356,24.6,9/11/14 18:35,761
284,10496,25,9/11/14 18:35,576.999
285,10498,24.7,9/11/14 18:35,204
286,10499,41.7,9/11/14 18:35,345
287,10360,44.3,9/11/14 18:35,431
288,10364,15.6,9/11/14 18:35,1316
289,10363,33,9/11/14 18:35,414.999
290,10361,34,9/11/14 18:35,401.999
291,10357,23.5,9/11/14 18:50,399.001
292,16981,25.3,9/11/14 18:50,426.885
293,10356,30.7,9/11/14 18:50,610
294,10496,28,9/11/14 18:50,513.999
295,10498,30.4,9/11/14 18:50,166
296,10499,46.6,9/11/14 18:50,309
297,10360,44.1,9/11/14 18:50,433
298,10364,21.8,9/11/14 18:50,942.002
299,10363,35.7,9/11/14 18:50,383
300,10361,33,9/11/14 18:50,414
301,10357,24.2,9/11/14 19:05,387.001
302,16981,22,9/11/14 19:05,491.928
303,10356,30.9,9/11/14 19:05,606
304,10496,27.3,9/11/14 19:05,528.001
305,10498,26.3,9/11/14 19:05,192
306,10499,42,9/11/14 19:05,343
307,10360,41.8,9/11/14 19:05,457.001
308,10364,22,9/11/14 19:05,934.001
309,10363,38.9,9/11/14 19:05,352
310,10361,43.3,9/11/14 19:05,316
311,10357,40.5,9/11/14 19:20,231
312,16981,21.3,9/11/14 19:20,506.461
313,10356,33.1,9/11/14 19:20,566
314,10496,31.7,9/11/14 19:20,453.999
315,10498,29,9/11/14 19:20,174
316,10499,43.5,9/11/14 19:20,331
317,10360,43.7,9/11/14 19:20,437
318,10364,22.5,9/11/14 19:20,909.998
319,10363,51,9/11/14 19:20,268
320,10361,48.5,9/11/14 19:20,282
321,10357,60.4,9/11/14 19:35,155
322,16981,30.1,9/11/14 19:35,358.494
323,10356,42,9/11/14 19:35,446
324,10496,53.7,9/11/14 19:35,268
325,10498,64.6,9/11/14 19:35,78
326,10499,64,9/11/14 19:35,225
327,10360,57.3,9/11/14 19:35,333
328,10364,22.5,9/11/14 19:35,909.998
329,10363,51,9/11/14 19:35,268
330,10361,49.2,9/11/14 19:35,278
331,10357,69.3,9/11/14 19:50,135
332,16981,36,9/11/14 19:50,299.997
333,10356,54.9,9/11/14 19:50,341
334,10496,57.4,9/11/14 19:50,251
335,10498,61.5,9/11/14 19:50,82
336,10499,59.3,9/11/14 19:50,243
337,10360,51.7,9/11/14 19:50,369
338,10364,51.3,9/11/14 19:50,400
339,10363,50.7,9/11/14 19:50,270
340,10361,50.7,9/11/14 19:50,270
341,10357,62,9/11/14 20:05,151
342,16981,14.9,9/11/14 20:05,726.312
343,10356,54.9,9/11/14 20:05,341
